date,binance,kraken,coinbase,okx
2016-06-09 00:00:00+00:00,,,14.65,
2016-06-10 00:00:00+00:00,,,13.91,
2016-06-11 00:00:00+00:00,,,14.1,
2016-06-12 00:00:00+00:00,,,15.58,
2016-06-13 00:00:00+00:00,,,17.89,
2016-06-14 00:00:00+00:00,,,18.79,
2016-06-15 00:00:00+00:00,,,18.42,
2016-06-16 00:00:00+00:00,,,20.99,
2016-06-17 00:00:00+00:00,,,15.65,
2016-06-18 00:00:00+00:00,,,11.64,
2016-06-19 00:00:00+00:00,,,12.35,
2016-06-20 00:00:00+00:00,,,11.81,
2016-06-21 00:00:00+00:00,,,13.89,
2016-06-22 00:00:00+00:00,,,13.18,
2016-06-23 00:00:00+00:00,,,13.81,
2016-06-24 00:00:00+00:00,,,14.55,
2016-06-25 00:00:00+00:00,,,14.37,
2016-06-26 00:00:00+00:00,,,14.02,
2016-06-27 00:00:00+00:00,,,14.1,
2016-06-28 00:00:00+00:00,,,12.23,
2016-06-29 00:00:00+00:00,,,12.74,
2016-06-30 00:00:00+00:00,,,12.49,
2016-07-01 00:00:00+00:00,,,12.34,
2016-07-02 00:00:00+00:00,,,12.09,
2016-07-03 00:00:00+00:00,,,12.02,
2016-07-04 00:00:00+00:00,,,11.48,
2016-07-05 00:00:00+00:00,,,10.6,
2016-07-06 00:00:00+00:00,,,10.61,
2016-07-07 00:00:00+00:00,,,10.08,
2016-07-08 00:00:00+00:00,,,11.43,
2016-07-09 00:00:00+00:00,,,11.01,
2016-07-10 00:00:00+00:00,,,11.02,
2016-07-11 00:00:00+00:00,,,10.72,
2016-07-12 00:00:00+00:00,,,10.57,
2016-07-13 00:00:00+00:00,,,10.49,
2016-07-14 00:00:00+00:00,,,11.62,
2016-07-15 00:00:00+00:00,,,11.99,
2016-07-16 00:00:00+00:00,,,11.8,
2016-07-17 00:00:00+00:00,,,11.33,
2016-07-18 00:00:00+00:00,,,11.05,
2016-07-19 00:00:00+00:00,,,11.75,
2016-07-20 00:00:00+00:00,,,12.5,
2016-07-21 00:00:00+00:00,,,12.76,
2016-07-22 00:00:00+00:00,,,14.83,
2016-07-23 00:00:00+00:00,,,14.52,
2016-07-24 00:00:00+00:00,,,12.78,
2016-07-25 00:00:00+00:00,,,13.91,
2016-07-26 00:00:00+00:00,,,12.0,
2016-07-27 00:00:00+00:00,,,13.1,
2016-07-28 00:00:00+00:00,,,12.93,
2016-07-29 00:00:00+00:00,,,12.84,
2016-07-30 00:00:00+00:00,,,12.49,
2016-07-31 00:00:00+00:00,,,12.3,
2016-08-01 00:00:00+00:00,,,12.3,
2016-08-02 00:00:00+00:00,,,12.3,
2016-08-03 00:00:00+00:00,,,10.68,
2016-08-04 00:00:00+00:00,,,11.32,
2016-08-05 00:00:00+00:00,,,11.18,
2016-08-06 00:00:00+00:00,,,11.01,
2016-08-07 00:00:00+00:00,,,10.99,
2016-08-08 00:00:00+00:00,,,11.34,
2016-08-09 00:00:00+00:00,,,12.28,
2016-08-10 00:00:00+00:00,,,12.21,
2016-08-11 00:00:00+00:00,,,11.73,
2016-08-12 00:00:00+00:00,,,11.81,
2016-08-13 00:00:00+00:00,,,11.61,
2016-08-14 00:00:00+00:00,,,11.28,
2016-08-15 00:00:00+00:00,,,11.3,
2016-08-16 00:00:00+00:00,,,11.18,
2016-08-17 00:00:00+00:00,,,10.82,
2016-08-18 00:00:00+00:00,,,10.77,
2016-08-19 00:00:00+00:00,,,10.77,
2016-08-20 00:00:00+00:00,,,11.3,
2016-08-21 00:00:00+00:00,,,11.21,
2016-08-22 00:00:00+00:00,,,11.1,
2016-08-23 00:00:00+00:00,,,11.0,
2016-08-24 00:00:00+00:00,,,11.01,
2016-08-25 00:00:00+00:00,,,11.34,
2016-08-26 00:00:00+00:00,,,11.28,
2016-08-27 00:00:00+00:00,,,11.18,
2016-08-28 00:00:00+00:00,,,11.01,
2016-08-29 00:00:00+00:00,,,10.95,
2016-08-30 00:00:00+00:00,,,11.21,
2016-08-31 00:00:00+00:00,,,11.7,
2016-09-01 00:00:00+00:00,,,12.05,
2016-09-02 00:00:00+00:00,,,12.15,
2016-09-03 00:00:00+00:00,,,11.88,
2016-09-04 00:00:00+00:00,,,11.77,
2016-09-05 00:00:00+00:00,,,11.76,
2016-09-06 00:00:00+00:00,,,11.71,
2016-09-07 00:00:00+00:00,,,11.58,
2016-09-08 00:00:00+00:00,,,11.39,
2016-09-09 00:00:00+00:00,,,11.64,
2016-09-10 00:00:00+00:00,,,12.21,
2016-09-11 00:00:00+00:00,,,11.65,
2016-09-12 00:00:00+00:00,,,11.86,
2016-09-13 00:00:00+00:00,,,11.92,
2016-09-14 00:00:00+00:00,,,11.91,
2016-09-15 00:00:00+00:00,,,11.96,
2016-09-16 00:00:00+00:00,,,12.58,
2016-09-17 00:00:00+00:00,,,12.79,
2016-09-18 00:00:00+00:00,,,12.64,
2016-09-19 00:00:00+00:00,,,13.17,
2016-09-20 00:00:00+00:00,,,14.56,
2016-09-21 00:00:00+00:00,,,13.76,
2016-09-22 00:00:00+00:00,,,13.2,
2016-09-23 00:00:00+00:00,,,13.37,
2016-09-24 00:00:00+00:00,,,12.97,
2016-09-25 00:00:00+00:00,,,13.12,
2016-09-26 00:00:00+00:00,,,12.84,
2016-09-27 00:00:00+00:00,,,13.09,
2016-09-28 00:00:00+00:00,,,13.32,
2016-09-29 00:00:00+00:00,,,13.11,
2016-09-30 00:00:00+00:00,,,13.23,
2016-10-01 00:00:00+00:00,,,13.22,
2016-10-02 00:00:00+00:00,,,13.28,
2016-10-03 00:00:00+00:00,,,13.51,
2016-10-04 00:00:00+00:00,,,13.32,
2016-10-05 00:00:00+00:00,,,13.09,
2016-10-06 00:00:00+00:00,,,12.86,
2016-10-07 00:00:00+00:00,,,12.7,
2016-10-08 00:00:00+00:00,,,12.26,
2016-10-09 00:00:00+00:00,,,12.1,
2016-10-10 00:00:00+00:00,,,11.78,
2016-10-11 00:00:00+00:00,,,11.77,
2016-10-12 00:00:00+00:00,,,11.92,
2016-10-13 00:00:00+00:00,,,11.87,
2016-10-14 00:00:00+00:00,,,11.92,
2016-10-15 00:00:00+00:00,,,11.95,
2016-10-16 00:00:00+00:00,,,11.95,
2016-10-17 00:00:00+00:00,,12.03,11.96,
2016-10-18 00:00:00+00:00,,12.48257,12.54,
2016-10-19 00:00:00+00:00,,12.03679,12.01,
2016-10-20 00:00:00+00:00,,12.04775,12.06,
2016-10-21 00:00:00+00:00,,12.16,12.05,
2016-10-22 00:00:00+00:00,,12.211,12.03,
2016-10-23 00:00:00+00:00,,12.02002,11.94,
2016-10-24 00:00:00+00:00,,11.975,11.92,
2016-10-25 00:00:00+00:00,,11.35,11.33,
2016-10-26 00:00:00+00:00,,11.51,11.49,
2016-10-27 00:00:00+00:00,,11.5022,11.48,
2016-10-28 00:00:00+00:00,,11.10812,11.13,
2016-10-29 00:00:00+00:00,,10.42966,10.47,
2016-10-30 00:00:00+00:00,,11.26309,11.19,
2016-10-31 00:00:00+00:00,,10.90001,10.97,
2016-11-01 00:00:00+00:00,,10.7724,10.84,
2016-11-02 00:00:00+00:00,,10.84707,10.83,
2016-11-03 00:00:00+00:00,,10.91529,10.87,
2016-11-04 00:00:00+00:00,,11.13347,11.15,
2016-11-05 00:00:00+00:00,,11.0775,11.16,
2016-11-06 00:00:00+00:00,,10.951,11.01,
2016-11-07 00:00:00+00:00,,10.88468,10.93,
2016-11-08 00:00:00+00:00,,10.8826,10.84,
2016-11-09 00:00:00+00:00,,10.6929,10.62,
2016-11-10 00:00:00+00:00,,10.50006,10.51,
2016-11-11 00:00:00+00:00,,10.26489,10.29,
2016-11-12 00:00:00+00:00,,9.75,9.95,
2016-11-13 00:00:00+00:00,,10.12356,10.14,
2016-11-14 00:00:00+00:00,,10.03473,10.02,
2016-11-15 00:00:00+00:00,,10.15551,10.27,
2016-11-16 00:00:00+00:00,,10.04,10.0,
2016-11-17 00:00:00+00:00,,9.92045,9.91,
2016-11-18 00:00:00+00:00,,9.48026,9.51,
2016-11-19 00:00:00+00:00,,9.7377,9.68,
2016-11-20 00:00:00+00:00,,9.5,9.6,
2016-11-21 00:00:00+00:00,,9.64298,9.54,
2016-11-22 00:00:00+00:00,,9.88088,9.87,
2016-11-23 00:00:00+00:00,,9.80434,9.8,
2016-11-24 00:00:00+00:00,,9.20754,9.18,
2016-11-25 00:00:00+00:00,,9.51271,9.56,
2016-11-26 00:00:00+00:00,,9.51271,9.56,
2016-11-27 00:00:00+00:00,,8.99205,8.98,
2016-11-28 00:00:00+00:00,,8.67695,8.67,
2016-11-29 00:00:00+00:00,,8.14285,8.14,
2016-11-30 00:00:00+00:00,,8.55384,8.61,
2016-12-01 00:00:00+00:00,,8.40341,8.45,
2016-12-02 00:00:00+00:00,,7.6439,7.73,
2016-12-03 00:00:00+00:00,,7.82738,7.86,
2016-12-04 00:00:00+00:00,,7.36101,7.37,
2016-12-05 00:00:00+00:00,,6.7756,6.75,
2016-12-06 00:00:00+00:00,,7.75812,7.83,
2016-12-07 00:00:00+00:00,,8.3242,8.35,
2016-12-08 00:00:00+00:00,,8.19899,8.2,
2016-12-09 00:00:00+00:00,,8.35578,8.47,
2016-12-10 00:00:00+00:00,,8.15,8.14,
2016-12-11 00:00:00+00:00,,8.22757,8.23,
2016-12-12 00:00:00+00:00,,8.52,8.5,
2016-12-13 00:00:00+00:00,,8.3943,8.41,
2016-12-14 00:00:00+00:00,,8.21262,8.24,
2016-12-15 00:00:00+00:00,,7.75679,7.83,
2016-12-16 00:00:00+00:00,,7.81734,7.84,
2016-12-17 00:00:00+00:00,,7.88,7.85,
2016-12-18 00:00:00+00:00,,7.8803,7.92,
2016-12-19 00:00:00+00:00,,7.61649,7.64,
2016-12-20 00:00:00+00:00,,7.65411,7.64,
2016-12-21 00:00:00+00:00,,7.82815,7.91,
2016-12-22 00:00:00+00:00,,7.57487,7.55,
